,Name,,,,,,,,
203,Biju Patnaik University of Technology,,,,,,,,
204,Birsa Agricultural University,,,,,,,,
205,Bundelkhand University,,,,,,,,
206,Burdwan University,,,,,,,,
207,Calcutta University,,,,,,,,
208,Calicut University ,,,,,,,,
209,CEPT University ,,,,,,,,
210,Chanakya National Law University,,,,,,,,
211,Chandr Shekhar Azad University of Agriculture & Technology,,,,,,,,
212,Chatrapati Sahuji Maharaj Kanpur University,,,,,,,,
213,Chaudhary Devi Lal University,,,,,,,,
214,Chhattisgarh Swami Vivekanad Technical Universty,,,,,,,,
215,Choudary Charan Singh Haryana Agricultural Univeersity,,,,,,,,
216,Choudary Charan Singh University,,,,,,,,
217,Cochin Unviersity of Science & Technology,,,,,,,,
218,Davangere University,,,,,,,,
219,Deen Bandhu Chhotu Ram University of Sciences & Technology,,,,,,,,
220,Deen Dayal Upadhyay Gorakhpur University,,,,,,,,
221,Devi Ahilya Vishwavidyalaya,,,,,,,,
222,Dharmsinh Desai University,,,,,,,,
223,Dibrugarh University,,,,,,,,
224,Doon University,,,,,,,,
225,Dr. B.R.Ambedkar   University,,,,,,,,
226,Dr. B.R.Ambedkar Open University,,,,,,,,
227,Dr. B.R. Ambedkar University,,,,,,,,
228,Dr. Babasaheb Ambedkar Marathwada University,,,,,,,,
229,Dr. Babasaheb Ambedkar Open University,,,,,,,,
230,Dr. Babasaheb AmbedkarTechnological University,,,,,,,,
231,Dr. Punjabrao Deshmukh Krishi Vidyapeeth,,,,,,,,
232,Dr. Ram Manohar Lohia Awadh University,,,,,,,,
233,Dr. Ram Manohar Lohiya National Law University,,,,,,,,
234,Dr. Shakuntala Misra National Rehabilitation University,,,,,,,,
235,Dr. Y.S.Parmar University of Horticulture & Forestry ,,,,,,,,
236,Dravidian University,,,,,,,,
237,Fakir Mohan University,,,,,,,,
238,G.B.Pant University of Agriculture & Technology,,,,,,,,
239,Gauhati University,,,,,,,,
240,Univesity of Gour Banga ,,,,,,,,
241,Gautam Buddha University,,,,,,,,
242,Goa University,,,,,,,,
243,Gujarat Ayurveda University,,,,,,,,
244,Gujarat National Law University,,,,,,,,
245,Gujarat Technological University,,,,,,,,
246,Gujarat University,,,,,,,,
247,Gulbarga University,,,,,,,,
248,Guru Angad Dev Veterinary & Animal Sciences University,,,,,,,,
249,Guru Jambeshwar University of Science and Technology,,,,,,,,
250,Guru Nanak Dev University,,,,,,,,
251,Hemchandracharya North Gujarat University,,,,,,,,
252,Hidayatullah National Law University,,,,,,,,
253,Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,,,,,,,,
254,Himachal Pradesh University,,,,,,,,
255,Indira Gandhi Krishi Vishwavidyalaya,,,,,,,,
256,Indira Kala Sangeet Vishwavidyalaya,,,,,,,,
257,Islamic University of Sciences & Technology University,,,,,,,,
258,Jadavpur University,,,,,,,,
259,Jagadguru Ramanandacharya Sanskrit University,,,,,,,,
260,Jai Naraim Vyas University,,,,,,,,
261,Jai Prakash vishwavidyalaya(university),,,,,,,,
262,Jammu University ,,,,,,,,
263,Jawaharlal Nehru Krishi Vishwavidyalaya,,,,,,,,
264,Jawaharlal Nehru Technological University,,,,,,,,
265,Jawaharlal Nehru Technological University,,,,,,,,
266,Jawaharlal Nehru Technological University,,,,,,,,
267,Jiwaji University,,,,,,,,
268,Kakatiya University,,,,,,,,
269,Kalyani University,,,,,,,,
270,Kameshwar Singh.Darbhanga Sanskrit Vishwavidyalaya,,,,,,,,
271,Karanataka  State Law University,,,,,,,,
272,Karanataka  State Open University,,,,,,,,
273,Kannada University,,,,,,,,
274,Kannur University,,,,,,,,
275,"Akkamahadevi women's  University (Formerly known as ""Karnataka State Women's University)",,,,,,,,
276,Karanataka  University,,,,,,,,
277,Karanataka Veterinary  Animal & Fisheries Science University ,,,,,,,,
278,Kashmir University,,,,,,,,
279,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,,,,,,,,
280,Kerala University,,,,,,,,
281,Kerala Agricultural Unviersity,,,,,,,,
282,King Georges Medical University,,,,,,,,
283,Kolhan University ,,,,,,,,
